journal,JCR Abbreviation,JID,field,Policy,unique_year_count,year_list
Journal of controlled release : official journal of the Controlled Release Society,J CONTROL RELEASE,158.0,PHARMACOLOGY & PHARMACY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of electromyography and kinesiology : official journal of the International Society of Electrophysiological Kinesiology,J ELECTROMYOGR KINES,173.0,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of experimental &amp; clinical cancer research : CR,J EXP CLIN CANC RES,147.0,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of food and drug analysis,J FOOD DRUG ANAL,162.0,PHARMACOLOGY & PHARMACY,0.0,13,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of geriatric cardiology : JGC,J GERIATR CARDIOL,27.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,15,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of hematology &amp; oncology,J HEMATOL ONCOL,138.0,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"Journal of immunology (Baltimore, Md. : 1950)",J IMMUNOL,113.0,IMMUNOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of innate immunity,J INNATE IMMUN,105.0,IMMUNOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of mammary gland biology and neoplasia,J MAMMARY GLAND BIOL,176.0,PHYSIOLOGY - SCIE,0.0,14,"2010, 2011, 2012, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of medical genetics,J MED GENET,83.0,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of molecular and cellular cardiology,J MOL CELL CARDIOL,31.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of molecular endocrinology,J MOL ENDOCRINOL,58.0,ENDOCRINOLOGY & METABOLISM,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of neuroinflammation,J NEUROINFLAMM,123.0,NEUROSCIENCES,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of neurophysiology,J NEUROPHYSIOL,199.0,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of nuclear cardiology : official publication of the American Society of Nuclear Cardiology,J NUCL CARDIOL,21.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of orthopaedic translation,J ORTHOP TRANSL,156.0,ORTHOPEDICS,0.0,12,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of physiological anthropology,J PHYSIOL ANTHROPOL,195.0,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of physiology and biochemistry,J PHYSIOL BIOCHEM,168.0,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of physiology and pharmacology : an official journal of the Polish Physiological Society,J PHYSIOL PHARMACOL,171.0,PHYSIOLOGY - SCIE,0.0,8,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of pineal research,J PINEAL RES,44.0,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of the American Heart Association,J AM HEART ASSOC,28.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,1.0,14,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of the National Cancer Institute,JNCI-J NATL CANCER I,131.0,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,J THORAC ONCOL,132.0,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Kidney &amp; blood pressure research,KIDNEY BLOOD PRESS R,192.0,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Kidney international,KIDNEY INT,208.0,UROLOGY & NEPHROLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Leukemia,LEUKEMIA,133.0,ONCOLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Liver cancer,LIVER CANCER,134.0,ONCOLOGY,0.0,14,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Lymphatic research and biology,LYMPHAT RES BIOL,182.0,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Metabolism: clinical and experimental,METABOLISM,47.0,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Microbial genomics,MICROB GENOMICS,93.0,GENETICS & HEREDITY,0.0,11,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Molecular autism,MOL AUTISM,78.0,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Molecular biology and evolution,MOL BIOL EVOL,68.0,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Molecular cancer,MOL CANCER,129.0,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Molecular metabolism,MOL METAB,50.0,ENDOCRINOLOGY & METABOLISM,0.0,14,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Molecular neurodegeneration,MOL NEURODEGENER,120.0,NEUROSCIENCES,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Molecular psychiatry,MOL PSYCHIATR,119.0,NEUROSCIENCES,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Molecular therapy : the journal of the American Society of Gene Therapy,MOL THER,71.0,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Molecular therapy oncolytics,MOL THER ONCOLYTICS,153.0,ONCOLOGY,0.0,10,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Movement disorders : official journal of the Movement Disorder Society,MOVEMENT DISORD,35.0,CLINICAL NEUROLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Mucosal immunology,MUCOSAL IMMUNOL,106.0,IMMUNOLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
NPJ Parkinson's disease,NPJ PARKINSONS DIS,121.0,NEUROSCIENCES,1.0,11,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
NPJ breast cancer,NPJ BREAST CANCER,148.0,ONCOLOGY,1.0,11,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
NPJ genomic medicine,NPJ GENOM MED,76.0,GENETICS & HEREDITY,1.0,10,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
NPJ precision oncology,NPJ PRECIS ONCOL,139.0,ONCOLOGY,1.0,9,"2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
NPJ vaccines,NPJ VACCINES,103.0,IMMUNOLOGY,1.0,10,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Nature genetics,NAT GENET,67.0,GENETICS & HEREDITY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Nature human behaviour,NAT HUM BEHAV,118.0,NEUROSCIENCES,1.0,10,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Nature immunology,NAT IMMUNOL,94.0,IMMUNOLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Nature metabolism,NAT METAB,40.0,ENDOCRINOLOGY & METABOLISM,1.0,7,"2019, 2020, 2021, 2022, 2023, 2024, 2025"
Nature neuroscience,NAT NEUROSCI,115.0,NEUROSCIENCES,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Neuro-oncology,NEURO-ONCOLOGY,36.0,CLINICAL NEUROLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Neuron,NEURON,116.0,NEUROSCIENCES,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Neuropathology and applied neurobiology,NEUROPATH APPL NEURO,38.0,CLINICAL NEUROLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Neurophysiologie clinique = Clinical neurophysiology,NEUROPHYSIOL CLIN,185.0,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Neurotherapeutics : the journal of the American Society for Experimental NeuroTherapeutics,NEUROTHERAPEUTICS,39.0,CLINICAL NEUROLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Nutrition &amp; diabetes,NUTR DIABETES,61.0,ENDOCRINOLOGY & METABOLISM,1.0,15,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"Nutrition, metabolism, and cardiovascular diseases : NMCD",NUTR METAB CARDIOVAS,32.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"Obesity (Silver Spring, Md.)",OBESITY,66.0,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Oncogene,ONCOGENE,70.0,GENETICS & HEREDITY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Oncogenesis,ONCOGENESIS,145.0,ONCOLOGY,1.0,14,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Oncoimmunology,ONCOIMMUNOLOGY,141.0,ONCOLOGY,0.0,14,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
PLoS genetics,PLOS GENET,88.0,GENETICS & HEREDITY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Pesticide biochemistry and physiology,PESTIC BIOCHEM PHYS,179.0,PHYSIOLOGY - SCIE,0.0,15,"2010, 2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Pflugers Archiv : European journal of physiology,PFLUG ARCH EUR J PHY,177.0,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Pharmaceutics,PHARMACEUTICS,161.0,PHARMACOLOGY & PHARMACY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Physiological genomics,PHYSIOL GENOMICS,193.0,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Physiological measurement,PHYSIOL MEAS,183.0,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Physiological research,PHYSIOL RES,198.0,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Prostate cancer and prostatic diseases,PROSTATE CANCER P D,211.0,UROLOGY & NEPHROLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Psychophysiology,PSYCHOPHYSIOLOGY,180.0,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"Rheumatology (Oxford, England)",RHEUMATOLOGY,204.0,RHEUMATOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Scandinavian journal of rheumatology,SCAND J RHEUMATOL,207.0,RHEUMATOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Stroke,STROKE,37.0,CLINICAL NEUROLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,THEOR APPL GENET,89.0,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The Annals of thoracic surgery,ANN THORAC SURG,26.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The Canadian journal of cardiology,CAN J CARDIOL,29.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The Journal of allergy and clinical immunology,J ALLERGY CLIN IMMUN,99.0,IMMUNOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The Journal of experimental medicine,J EXP MED,96.0,IMMUNOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The Journal of general physiology,J GEN PHYSIOL,169.0,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,J HEART LUNG TRANSPL,2.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The Journal of physiology,J PHYSIOL-LONDON,166.0,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The Journal of rheumatology,J RHEUMATOL,205.0,RHEUMATOLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The Lancet. Rheumatology,LANCET RHEUMATOL,203.0,RHEUMATOLOGY,0.0,7,"2019, 2020, 2021, 2022, 2023, 2024, 2025"
The aging male : the official journal of the International Society for the Study of the Aging Male,AGING MALE,210.0,UROLOGY & NEPHROLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The bone &amp; joint journal,BONE JOINT J,155.0,ORTHOPEDICS,0.0,13,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The international journal of behavioral nutrition and physical activity,INT J BEHAV NUTR PHY,164.0,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The international journal of cardiovascular imaging,INT J CARDIOVAS IMAG,9.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The journal of allergy and clinical immunology. In practice,J ALLER CL IMM-PRACT,102.0,IMMUNOLOGY,0.0,13,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The journal of physiological sciences : JPS,J PHYSIOL SCI,174.0,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The lancet. HIV,LANCET HIV,98.0,IMMUNOLOGY,0.0,12,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The world journal of men's health,WORLD J MENS HEALTH,213.0,UROLOGY & NEPHROLOGY,0.0,14,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Therapeutic advances in medical oncology,THER ADV MED ONCOL,140.0,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Thyroid : official journal of the American Thyroid Association,THYROID,54.0,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Transplantation and cellular therapy,BIOL BLOOD MARROW TR,114.0,IMMUNOLOGY,0.0,5,"2021, 2022, 2023, 2024, 2025"
Virulence,VIRULENCE,111.0,IMMUNOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
