journal,JCR Abbreviation,JID,essn,eissn,field,Policy,unique_year_count,year_list
"Journal of applied physiology (Bethesda, Md. : 1985)",J APPL PHYSIOL,187.0,1522-1601,1522-1601,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of autoimmunity,J AUTOIMMUN,110.0,1095-9157,1095-9157,IMMUNOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of biological rhythms,J BIOL RHYTHM,191.0,1552-4531,1552-4531,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,J BONE MINER RES,52.0,1523-4681,1523-4681,ENDOCRINOLOGY & METABOLISM,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of cardiac failure,J CARD FAIL,12.0,1532-8414,1532-8414,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of cardiovascular computed tomography,J CARDIOVASC COMPUT,8.0,1934-5925,1934-5925,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of cardiovascular development and disease,J CARDIOVASC DEV DIS,20.0,2308-3425,2308-3425,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,12,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of cardiovascular electrophysiology,J CARDIOVASC ELECTR,18.0,1540-8167,1540-8167,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,J CEREBR BLOOD F MET,55.0,1559-7016,1559-7016,ENDOCRINOLOGY & METABOLISM,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of clinical immunology,J CLIN IMMUNOL,107.0,1573-2592,1573-2592,IMMUNOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of controlled release : official journal of the Controlled Release Society,J CONTROL RELEASE,158.0,1873-4995,1873-4995,PHARMACOLOGY & PHARMACY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of electromyography and kinesiology : official journal of the International Society of Electrophysiological Kinesiology,J ELECTROMYOGR KINES,173.0,1873-5711,1873-5711,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of experimental &amp; clinical cancer research : CR,J EXP CLIN CANC RES,147.0,1756-9966,1756-9966,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of food and drug analysis,J FOOD DRUG ANAL,162.0,1021-9498,1021-9498,PHARMACOLOGY & PHARMACY,0.0,13,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of geriatric cardiology : JGC,J GERIATR CARDIOL,27.0,1671-5411,1671-5411,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,15,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of hematology &amp; oncology,J HEMATOL ONCOL,138.0,1756-8722,1756-8722,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"Journal of immunology (Baltimore, Md. : 1950)",J IMMUNOL,113.0,1550-6606,1550-6606,IMMUNOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of innate immunity,J INNATE IMMUN,105.0,1662-8128,1662-8128,IMMUNOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of mammary gland biology and neoplasia,J MAMMARY GLAND BIOL,176.0,1573-7039,1573-7039,PHYSIOLOGY - SCIE,0.0,14,"2010, 2011, 2012, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of medical genetics,J MED GENET,83.0,1468-6244,1468-6244,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of molecular and cellular cardiology,J MOL CELL CARDIOL,31.0,1095-8584,1095-8584,CARDIAC & CARDIOVASCULAR SYSTEMS ,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of molecular endocrinology,J MOL ENDOCRINOL,58.0,1479-6813,1479-6813,ENDOCRINOLOGY & METABOLISM,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of neuroinflammation,J NEUROINFLAMM,123.0,1742-2094,1742-2094,NEUROSCIENCES,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of neurophysiology,J NEUROPHYSIOL,199.0,1522-1598,1522-1598,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of nuclear cardiology : official publication of the American Society of Nuclear Cardiology,J NUCL CARDIOL,21.0,1532-6551,1532-6551,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of orthopaedic translation,J ORTHOP TRANSL,156.0,2214-031X,2214-031X,ORTHOPEDICS,0.0,12,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of physiological anthropology,J PHYSIOL ANTHROPOL,195.0,1880-6805,1880-6805,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of physiology and biochemistry,J PHYSIOL BIOCHEM,168.0,1877-8755,1877-8755,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of physiology and pharmacology : an official journal of the Polish Physiological Society,J PHYSIOL PHARMACOL,171.0,0867-5910,0867-5910,PHYSIOLOGY - SCIE,0.0,8,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of pineal research,J PINEAL RES,44.0,0742-3098,0742-3098,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of the American Heart Association,J AM HEART ASSOC,28.0,2047-9980,2047-9980,CARDIAC & CARDIOVASCULAR SYSTEMS ,1.0,14,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of the National Cancer Institute,JNCI-J NATL CANCER I,131.0,1460-2105,1460-2105,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,J THORAC ONCOL,132.0,1556-1380,1556-1380,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Kidney &amp; blood pressure research,KIDNEY BLOOD PRESS R,192.0,1423-0143,1423-0143,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Kidney international,KIDNEY INT,208.0,1523-1755,1523-1755,UROLOGY & NEPHROLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Leukemia,LEUKEMIA,133.0,1476-5551,1476-5551,ONCOLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Liver cancer,LIVER CANCER,134.0,1664-5553,1664-5553,ONCOLOGY,0.0,14,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Lymphatic research and biology,LYMPHAT RES BIOL,182.0,1557-8585,1557-8585,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Metabolism: clinical and experimental,METABOLISM,47.0,1532-8600,1532-8600,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Microbial genomics,MICROB GENOMICS,93.0,2057-5858,2057-5858,GENETICS & HEREDITY,0.0,11,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Molecular autism,MOL AUTISM,78.0,2040-2392,2040-2392,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Molecular biology and evolution,MOL BIOL EVOL,68.0,1537-1719,1537-1719,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Molecular cancer,MOL CANCER,129.0,1476-4598,1476-4598,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Molecular metabolism,MOL METAB,50.0,2212-8778,2212-8778,ENDOCRINOLOGY & METABOLISM,0.0,14,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Molecular neurodegeneration,MOL NEURODEGENER,120.0,1750-1326,1750-1326,NEUROSCIENCES,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Molecular psychiatry,MOL PSYCHIATR,119.0,1476-5578,1476-5578,NEUROSCIENCES,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Molecular therapy : the journal of the American Society of Gene Therapy,MOL THER,71.0,1525-0024,1525-0024,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Molecular therapy oncolytics,MOL THER ONCOLYTICS,153.0,2372-7705,2372-7705,ONCOLOGY,0.0,10,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Movement disorders : official journal of the Movement Disorder Society,MOVEMENT DISORD,35.0,1531-8257,1531-8257,CLINICAL NEUROLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Mucosal immunology,MUCOSAL IMMUNOL,106.0,1935-3456,1935-3456,IMMUNOLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
NPJ Parkinson's disease,NPJ PARKINSONS DIS,121.0,2373-8057,2373-8057,NEUROSCIENCES,1.0,11,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
NPJ breast cancer,NPJ BREAST CANCER,148.0,2374-4677,2374-4677,ONCOLOGY,1.0,11,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
NPJ genomic medicine,NPJ GENOM MED,76.0,2056-7944,2056-7944,GENETICS & HEREDITY,1.0,10,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
NPJ precision oncology,NPJ PRECIS ONCOL,139.0,2397-768X,2397-768X,ONCOLOGY,1.0,9,"2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
NPJ vaccines,NPJ VACCINES,103.0,2059-0105,2059-0105,IMMUNOLOGY,1.0,10,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Nature genetics,NAT GENET,67.0,1546-1718,1546-1718,GENETICS & HEREDITY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Nature human behaviour,NAT HUM BEHAV,118.0,2397-3374,2397-3374,NEUROSCIENCES,1.0,10,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Nature immunology,NAT IMMUNOL,94.0,1529-2916,1529-2916,IMMUNOLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Nature metabolism,NAT METAB,40.0,2522-5812,2522-5812,ENDOCRINOLOGY & METABOLISM,1.0,7,"2019, 2020, 2021, 2022, 2023, 2024, 2025"
Nature neuroscience,NAT NEUROSCI,115.0,1546-1726,1546-1726,NEUROSCIENCES,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Neuro-oncology,NEURO-ONCOLOGY,36.0,1523-5866,1523-5866,CLINICAL NEUROLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Neuron,NEURON,116.0,1097-4199,1097-4199,NEUROSCIENCES,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Neuropathology and applied neurobiology,NEUROPATH APPL NEURO,38.0,1365-2990,1365-2990,CLINICAL NEUROLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Neurophysiologie clinique = Clinical neurophysiology,NEUROPHYSIOL CLIN,185.0,1769-7131,1769-7131,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Neurotherapeutics : the journal of the American Society for Experimental NeuroTherapeutics,NEUROTHERAPEUTICS,39.0,1878-7479,1878-7479,CLINICAL NEUROLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Nutrition &amp; diabetes,NUTR DIABETES,61.0,2044-4052,2044-4052,ENDOCRINOLOGY & METABOLISM,1.0,15,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"Nutrition, metabolism, and cardiovascular diseases : NMCD",NUTR METAB CARDIOVAS,32.0,1590-3729,1590-3729,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"Obesity (Silver Spring, Md.)",OBESITY,66.0,1930-739X,1930-739X,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Oncogene,ONCOGENE,70.0,1476-5594,1476-5594,GENETICS & HEREDITY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Oncogenesis,ONCOGENESIS,145.0,2157-9024,2157-9024,ONCOLOGY,1.0,14,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Oncoimmunology,ONCOIMMUNOLOGY,141.0,2162-402X,2162-402X,ONCOLOGY,0.0,14,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
PLoS genetics,PLOS GENET,88.0,1553-7404,1553-7404,GENETICS & HEREDITY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Pesticide biochemistry and physiology,PESTIC BIOCHEM PHYS,179.0,1095-9939,1095-9939,PHYSIOLOGY - SCIE,0.0,15,"2010, 2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Pflugers Archiv : European journal of physiology,PFLUG ARCH EUR J PHY,177.0,1432-2013,1432-2013,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Pharmaceutics,PHARMACEUTICS,161.0,1999-4923,1999-4923,PHARMACOLOGY & PHARMACY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Physiological genomics,PHYSIOL GENOMICS,193.0,1531-2267,1531-2267,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Physiological measurement,PHYSIOL MEAS,183.0,1361-6579,1361-6579,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Physiological research,PHYSIOL RES,198.0,1802-9973,1802-9973,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Prostate cancer and prostatic diseases,PROSTATE CANCER P D,211.0,1476-5608,1476-5608,UROLOGY & NEPHROLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Psychophysiology,PSYCHOPHYSIOLOGY,180.0,1469-8986,1469-8986,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"Rheumatology (Oxford, England)",RHEUMATOLOGY,204.0,1462-0332,1462-0332,RHEUMATOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Scandinavian journal of rheumatology,SCAND J RHEUMATOL,207.0,1502-7732,1502-7732,RHEUMATOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Stroke,STROKE,37.0,1524-4628,1524-4628,CLINICAL NEUROLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,THEOR APPL GENET,89.0,1432-2242,1432-2242,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The Annals of thoracic surgery,ANN THORAC SURG,26.0,1552-6259,1552-6259,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The Canadian journal of cardiology,CAN J CARDIOL,29.0,1916-7075,1916-7075,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The Journal of allergy and clinical immunology,J ALLERGY CLIN IMMUN,99.0,1097-6825,1097-6825,IMMUNOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The Journal of experimental medicine,J EXP MED,96.0,1540-9538,1540-9538,IMMUNOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The Journal of general physiology,J GEN PHYSIOL,169.0,1540-7748,1540-7748,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,J HEART LUNG TRANSPL,2.0,1557-3117,1557-3117,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The Journal of physiology,J PHYSIOL-LONDON,166.0,1469-7793,1469-7793,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The Journal of rheumatology,J RHEUMATOL,205.0,1499-2752,1499-2752,RHEUMATOLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The Lancet. Rheumatology,LANCET RHEUMATOL,203.0,2665-9913,2665-9913,RHEUMATOLOGY,0.0,7,"2019, 2020, 2021, 2022, 2023, 2024, 2025"
The aging male : the official journal of the International Society for the Study of the Aging Male,AGING MALE,210.0,1473-0790,1473-0790,UROLOGY & NEPHROLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The bone &amp; joint journal,BONE JOINT J,155.0,2049-4394,2049-4394,ORTHOPEDICS,0.0,13,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The international journal of behavioral nutrition and physical activity,INT J BEHAV NUTR PHY,164.0,1479-5868,1479-5868,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The international journal of cardiovascular imaging,INT J CARDIOVAS IMAG,9.0,1569-5794,1569-5794,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The journal of allergy and clinical immunology. In practice,J ALLER CL IMM-PRACT,102.0,2213-2201,2213-2201,IMMUNOLOGY,0.0,13,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The journal of physiological sciences : JPS,J PHYSIOL SCI,174.0,1880-6562,1880-6562,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The lancet. HIV,LANCET HIV,98.0,2352-3018,2352-3018,IMMUNOLOGY,0.0,12,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
The world journal of men's health,WORLD J MENS HEALTH,213.0,2287-4690,2287-4690,UROLOGY & NEPHROLOGY,0.0,14,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Therapeutic advances in medical oncology,THER ADV MED ONCOL,140.0,1758-8359,1758-8359,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Thyroid : official journal of the American Thyroid Association,THYROID,54.0,1557-9077,1557-9077,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Transplantation and cellular therapy,TRANSPL CELL THER,114.0,2666-6367,2666-6367,IMMUNOLOGY,0.0,5,"2021, 2022, 2023, 2024, 2025"
Virulence,VIRULENCE,111.0,2150-5608,2150-5608,IMMUNOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
